price,bedRoom,bathroom,balcony,floorNum,agePossession,Location,Servant_Room,Study_Room,Pooja_Room,Store_Room,Built_Up_Area,furnishing_type,luxury_category
335.0,4.0,4.0,3.0,2.0,New Property,sector 23,0,1,0,0,5400.0,Unfurnished,Semi Luxurious
150.0,3.0,3.0,3.0,11.0,New Property,sector 88,0,0,0,0,1480.0,Unfurnished,Not Luxurious
165.0,4.0,4.0,3.0,11.0,Moderately Old,sector 91,1,0,0,0,1891.2,Unfurnished,Semi Luxurious
200.0,4.0,4.0,3.0,16.0,Moderately Old,sector 91,1,1,1,0,2181.6,Unfurnished,Semi Luxurious
175.0,4.0,4.0,3.0,8.0,New Property,sector 1,1,0,0,0,3360.0,Unfurnished,Semi Luxurious
90.0,2.0,2.0,2.0,1.0,New Property,sector 68,0,0,0,0,1416.0,Unfurnished,Semi Luxurious
125.0,3.0,3.0,3.0,18.0,Under Construction,sector 70,0,0,0,0,1492.0,Unfurnished,Not Luxurious
100.0,3.0,3.0,3.0,8.0,Relatively New,sector 37c,0,0,0,0,1844.4,Fully Furnished,Semi Luxurious
215.0,3.0,5.0,3.0,2.0,New Property,sector 85,0,0,0,0,1926.4,Unfurnished,Not Luxurious
100.0,1.0,1.0,1.0,17.0,Relatively New,sector 67,0,0,0,0,826.0,Unfurnished,Semi Luxurious
165.0,2.0,2.0,3.0,23.0,New Property,sector 70,0,0,0,0,1009.6,Unfurnished,Luxurious
179.0,4.0,3.0,3.0,10.0,Moderately Old,sector 90,0,0,0,0,2658.0,Unfurnished,Not Luxurious
180.0,3.0,3.0,3.0,30.0,Under Construction,sector 85,0,0,0,0,152.76,Unfurnished,Semi Luxurious
145.0,3.0,3.0,3.0,4.0,Under Construction,sector 55,0,0,0,0,1430.0,Unfurnished,Semi Luxurious
22.0,1.0,1.0,1.0,2.0,Relatively New,sector 4,0,0,0,0,468.0,Unfurnished,Not Luxurious
36.0,2.0,2.0,1.0,0.0,Relatively New,sector 7,0,0,0,0,700.0,Unfurnished,Not Luxurious
25.0,2.0,2.0,1.0,0.0,Relatively New,sohna,0,0,0,0,587.0,Unfurnished,Semi Luxurious
115.0,3.0,3.0,3.0,1.0,Under Construction,sector 79,0,1,0,0,1200.0,Unfurnished,Not Luxurious
165.0,3.0,3.0,0.0,1.0,Relatively New,sohna,0,0,0,0,1135.2,Unfurnished,Not Luxurious
290.0,4.0,4.0,3.0,11.0,Under Construction,sector 113,1,1,0,0,2757.6,Unfurnished,Semi Luxurious
60.0,2.0,2.0,3.0,11.0,Under Construction,sector 92,0,0,0,0,1056.0,Unfurnished,Semi Luxurious
240.0,3.0,3.0,0.0,0.0,Moderately Old,sector 50,0,0,0,0,2880.0,Fully Furnished,Not Luxurious
125.0,2.0,2.0,3.0,19.0,Relatively New,sector 70,0,0,0,0,1514.4,Unfurnished,Not Luxurious
215.0,2.0,2.0,3.0,28.0,Relatively New,sector 65,0,0,0,0,1433.0,Unfurnished,Not Luxurious
29.5,2.0,2.0,1.0,4.0,Relatively New,sohna,0,0,0,0,743.0,Unfurnished,Not Luxurious
38.0,2.0,2.0,2.0,9.0,Relatively New,sohna,0,0,0,0,750.0,Unfurnished,Not Luxurious
150.0,2.0,2.0,3.0,7.0,Relatively New,multiple sectors,0,0,0,0,1200.0,Unfurnished,Not Luxurious
39.0,2.0,2.0,1.0,0.0,Relatively New,sector 4,0,0,0,0,950.0,Unfurnished,Not Luxurious
160.0,3.0,4.0,0.0,15.0,Relatively New,sector 99,0,0,0,0,2400.0,Unfurnished,Not Luxurious
170.0,4.0,4.0,3.0,2.0,New Property,sector 68,0,0,0,0,1599.2,Unfurnished,Not Luxurious
325.0,3.0,3.0,3.0,0.0,Old Property,sector 54,0,0,1,0,2762.4,Fully Furnished,Luxurious
60.0,2.0,2.0,3.0,9.0,New Property,sector 111,0,0,0,0,852.0,Unfurnished,Semi Luxurious
27.0,2.0,2.0,0.0,1.0,Relatively New,sector 95,0,0,0,0,800.0,Unfurnished,Not Luxurious
95.0,2.0,1.0,1.0,1.0,Old Property,sector 28,0,0,0,0,1282.8,Unfurnished,Semi Luxurious
265.0,2.0,2.0,3.0,4.0,New Property,sector 65,0,1,0,0,1146.4,Fully Furnished,Semi Luxurious
36.0,2.0,2.0,1.0,4.0,New Property,sector 79,0,0,0,0,546.0,Unfurnished,Semi Luxurious
55.0,2.0,2.0,3.0,3.0,New Property,sector 37,0,0,0,0,480.0,Unfurnished,Not Luxurious
132.0,3.0,3.0,3.0,1.0,Under Construction,sector 89,0,0,0,0,936.0,Unfurnished,Not Luxurious
59.0,2.0,2.0,3.0,1.0,Under Construction,sector 99,0,0,0,0,1001.7040000000002,Unfurnished,Luxurious
45.0,2.0,2.0,1.0,0.0,Relatively New,sector 3,0,0,0,0,1020.0,Unfurnished,Semi Luxurious
90.0,3.0,3.0,2.0,13.0,Relatively New,sector 37,0,0,0,0,1185.0,Fully Furnished,Semi Luxurious
140.0,2.0,2.0,2.0,4.0,Relatively New,sector 79,1,1,0,1,1680.0,Semi Furnished,Semi Luxurious
95.0,2.0,2.0,3.0,6.0,New Property,sohna,0,1,0,0,1161.6,Unfurnished,Not Luxurious
300.0,3.0,3.0,3.0,20.0,Under Construction,sector 65,0,0,0,0,1462.4,Unfurnished,Semi Luxurious
367.0,3.0,3.0,2.0,27.0,Under Construction,sector 65,1,0,0,0,1632.0,Unfurnished,Semi Luxurious
385.0,5.0,6.0,3.0,6.0,New Property,sector 82,1,0,1,0,6168.0,Fully Furnished,Luxurious
329.0,3.0,3.0,3.0,33.0,New Property,sector 65,0,0,0,0,1462.4,Unfurnished,Semi Luxurious
233.0,2.0,2.0,3.0,35.0,Under Construction,sector 65,0,0,0,0,1008.8,Fully Furnished,Semi Luxurious
279.0,3.0,3.0,3.0,26.0,New Property,sector 65,0,0,0,0,1462.4,Unfurnished,Not Luxurious
340.0,4.0,4.0,3.0,0.0,Relatively New,sector 41,0,0,0,0,2900.0,Unfurnished,Not Luxurious
72.0,2.0,2.0,1.0,2.0,Relatively New,sector 12,0,0,0,0,1188.0,Fully Furnished,Not Luxurious
40.0,2.0,2.0,1.0,4.0,Relatively New,sector 104,0,0,0,0,454.768,Unfurnished,Semi Luxurious
56.0,2.0,2.0,2.0,10.0,Relatively New,sector 95,0,0,0,0,1091.2,Fully Furnished,Semi Luxurious
110.0,3.0,3.0,3.0,11.0,Relatively New,sector 71,0,0,0,0,1296.0,Unfurnished,Semi Luxurious
71.0,2.0,2.0,3.0,10.0,New Property,sector 37,0,0,0,0,1100.0,Unfurnished,Semi Luxurious
78.0,2.0,2.0,3.0,0.0,New Property,sector 79,0,0,0,0,1036.0,Unfurnished,Semi Luxurious
40.0,2.0,2.0,3.0,3.0,Under Construction,sector 37c,0,0,0,0,816.0,Unfurnished,Semi Luxurious
185.0,3.0,2.0,2.0,7.0,New Property,sector 113,0,0,0,0,1263.2,Unfurnished,Semi Luxurious
110.0,2.0,2.0,1.0,8.0,Under Construction,sector 102,0,0,0,0,722.4000000000001,Unfurnished,Luxurious
141.0,2.0,2.0,2.0,2.0,Under Construction,sector 61,0,1,0,0,1150.0,Unfurnished,Luxurious
145.0,3.0,3.0,3.0,3.0,Relatively New,sector 79,0,0,0,0,2334.0,Fully Furnished,Not Luxurious
220.00000000000003,3.0,3.0,2.0,1.0,Under Construction,sector 61,0,0,0,0,1920.0,Unfurnished,Semi Luxurious
110.0,2.0,2.0,3.0,9.0,Moderately Old,sector 33,0,0,0,0,1100.0,Fully Furnished,Semi Luxurious
205.0,3.0,4.0,3.0,14.0,Relatively New,sector 102,1,0,0,0,2430.0,Unfurnished,Semi Luxurious
60.0,3.0,2.0,3.0,4.0,Moderately Old,sector 92,0,0,0,0,1440.0,Fully Furnished,Semi Luxurious
