price,bedRoom,bathroom,balcony,floorNum,agePossession,sector,Servant_Room,Study_Room,Pooja_Room,Store_Room,Built_Up_Area,furnishing_type,luxury_category,Latitude,Longitude
90.0,2.0,3.0,3.0,2.0,Relatively New,sector 108,1,0,0,0,978.23,Unfurnished,Luxurious,28.5134° N, 76.9830° E
120.0,3.0,3.0,3.0,7.0,Relatively New,sector 107,0,0,0,0,1750.0,Fully Furnished,Semi Luxurious,28.5052° N, 76.9729° E
36.0,2.0,2.0,1.0,9.0,Relatively New,sector 107,0,0,0,0,438.4,Unfurnished,Semi Luxurious,28.5052° N, 76.9729° E
37.0,2.0,2.0,1.0,10.0,Relatively New,sector 107,0,0,0,0,438.4,Unfurnished,Semi Luxurious,28.5052° N, 76.9729° E
50.0,3.0,2.0,2.0,5.0,Relatively New,sector 107,0,0,0,0,850.0,Unfurnished,Semi Luxurious,28.5052° N, 76.9729° E
112.0,3.0,3.0,2.0,12.0,Relatively New,sector 82,0,0,1,0,1432.0,Unfurnished,Semi Luxurious,28.3935° N, 76.9600° E
112.0,3.0,4.0,2.0,6.0,Relatively New,sector 82,1,0,1,0,1500.0,Unfurnished,Luxurious,28.3935° N, 76.9600° E
39.0,2.0,2.0,2.0,6.0,Relatively New,sector 81,0,0,0,0,720.0,Unfurnished,Semi Luxurious,28.3867° N, 76.9485° E
38.0,1.0,1.0,2.0,3.0,Relatively New,sector 81,0,0,0,0,480.0,Unfurnished,Not Luxurious,28.3867° N, 76.9485° E
165.0,3.0,3.0,2.0,6.0,Relatively New,sector 70,0,1,0,0,2340.0,Unfurnished,Semi Luxurious,28.3968° N, 77.0233° E
115.0,2.0,2.0,2.0,6.0,Relatively New,sector 70,0,1,0,0,1620.0,Unfurnished,Luxurious,28.3968° N, 77.0233° E
215.0,2.0,3.0,2.0,5.0,Relatively New,sector 60,1,0,0,0,1250.0,Fully Furnished,Semi Luxurious,28.4003° N, 77.0975° E
210.0,4.0,5.0,3.0,5.0,Moderately Old,sector 70,1,0,0,0,1920.0,Fully Furnished,Luxurious,28.3968° N, 77.0233° E
200.0,4.0,5.0,3.0,6.0,Moderately Old,sector 70,1,0,0,0,1920.0,Fully Furnished,Luxurious,28.3968° N, 77.0233° E
190.0,3.0,3.0,3.0,9.0,Moderately Old,sector 49,1,0,0,0,2166.0,Unfurnished,Luxurious,28.4121° N, 77.0480° E
159.0,3.0,3.0,3.0,3.0,Moderately Old,sector 54,0,1,0,0,2250.0,Fully Furnished,Semi Luxurious,28.4348° N, 77.1089° E
145.0,3.0,3.0,3.0,2.0,Moderately Old,sector 56,0,0,0,0,1520.0,Fully Furnished,Semi Luxurious,28.4245° N, 77.0991° E
139.0,3.0,3.0,3.0,4.0,Moderately Old,sector 56,0,1,0,0,1536.0,Fully Furnished,Semi Luxurious,28.4245° N, 77.0991° E
